source	target	weight	resources
MYC	TERT	1.0	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;Pavlidis2021;TFactS;TRRUST
SPI1	BGLAP	1.0	ExTRI
SMAD3	JUN	1.0	ExTRI;NTNU.Curated;TFactS;TRRUST
SMAD4	JUN	1.0	ExTRI;NTNU.Curated;TFactS;TRRUST
STAT5A	IL2	1.0	ExTRI
STAT5B	IL2	1.0	ExTRI
RELA	FAS	1.0	ExTRI;NTNU.Curated;TRRUST
WT1	NR0B1	1.0	ExTRI;GEREDB
NR0B2	CASP1	1.0	ExTRI
SP1	ALDOA	1.0	DoRothEA-A;ExTRI;TFactS
TP53	IGF1R	-1.0	ExTRI;GEREDB;NTNU.Curated;TRRUST
ZBTB16	CCNA2	-1.0	DoRothEA-A;ExTRI;TRRUST
ETV6	IL3	-1.0	ExTRI;NTNU.Curated
RUNX1	IL3	-1.0	CytReg;DoRothEA-A;ExTRI;TRRUST
RUNX1	RHD	1.0	ExTRI
STAT1	CDKN1A	1.0	ExTRI;TFactS;TRRUST
STAT3	CDKN1A	1.0	ExTRI;NTNU.Curated;TRRUST
TP53	POLI	1.0	ExTRI
ETV4	GGT1	1.0	ExTRI;NTNU.Curated
MTF1	MCAT	1.0	ExTRI;SIGNOR;TRRUST
CREB1	HMGCS2	1.0	ExTRI;NTNU.Curated
FOXA2	GCG	1.0	ExTRI;NTNU.Curated;TRRUST
NFATC2	GCG	1.0	ExTRI
CEBPB	PCK1	1.0	ExTRI;NTNU.Curated
FOS	ABCB1	1.0	ExTRI
RELA	ABCB1	1.0	ExTRI;TFactS;TRRUST
PLAG1	PLAG1	1.0	ExTRI
TP53	CDKN1A	1.0	DoRothEA-A;ExTRI;GOA;HTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
TP53	RB1	-1.0	DoRothEA-A;ExTRI;GEREDB;HTRI;NTNU.Curated;TFactS;TRRUST
E2F1	CDKN1A	1.0	ExTRI;GEREDB;NTNU.Curated;TFactS;TRRUST
E2F3	CDKN1A	1.0	ExTRI;GEREDB;NTNU.Curated;TFactS;TRRUST
HBP1	CDKN1A	-1.0	ExTRI;TFactS;TRRUST
YY1	NR3C1	1.0	ExTRI;NTNU.Curated;Pavlidis2021;TFactS;TRRUST
ESR1	MAPK8	1.0	ExTRI
JUN	MAPK8	1.0	ExTRI;TRRUST
NR1I3	CYP2B6	1.0	ExTRI;GEREDB;NTNU.Curated;SIGNOR;TRRUST
CEBPG	IVL	1.0	ExTRI;NTNU.Curated
MAFK	HBB	1.0	ExTRI
NFE2L3	HBB	1.0	ExTRI;NTNU.Curated
TP53	ACTA1	1.0	ExTRI
TP53	BCL2	-1.0	ExTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
PHOX2A	DBH	1.0	ExTRI;NTNU.Curated;TFactS;TRRUST
STAT4	IL12B	1.0	ExTRI
STAT4	IFNA1	1.0	ExTRI
STAT4	IRF1	1.0	ExTRI;TRRUST
IRF1	IRF1	1.0	ExTRI
ATF2	IL6	1.0	CytReg;ExTRI;SIGNOR
WT1	ODC1	1.0	ExTRI;TRRUST
NR2C2	CCND1	1.0	ExTRI;NTNU.Curated
IRF3	IFNA1	1.0	CytReg;ExTRI;TRRUST
TFAP2A	CCL13	1.0	ExTRI
FOS	FOS	-1.0	ExTRI;TRRUST
HNF1A	IGF1	1.0	DoRothEA-A;ExTRI;NTNU.Curated;SIGNOR
