uniprot	symbol	taxon
A0A024R1R8	TMA7B	9606
A0A024RBG1	NUDT4B	9606
A0A075B6H7	IGKV3-7	9606
A0A075B6H8	IGKV1D-42	9606
A0A075B6H9	IGLV4-69	9606
A0A075B6I0	IGLV8-61	9606
A0A075B6I1	IGLV4-60	9606
A0A075B6I3	IGLV11-55	9606
A0A075B6I4	IGLV10-54	9606
A0A075B6I6	IGLV1-50	9606
A0A075B6I7	IGLV5-48	9606
A0A075B6I9	IGLV7-46	9606
A0A075B6J1	IGLV5-37	9606
A0A075B6J2	IGLV2-33	9606
A0A075B6J6	IGLV3-22	9606
A0A075B6J9	IGLV2-18	9606
A0A075B6K0	IGLV3-16	9606
A0A075B6K2	IGLV3-12	9606
A0A075B6K4	IGLV3-10	9606
A0A075B6K5	IGLV3-9	9606
A0A075B6K6	IGLV4-3	9606
A0A075B6L2	TRGV11	9606
A0A075B6L6	TRBV7-3	9606
A0A075B6N1	TRBV19	9606
A0A075B6N2	TRBV20-1	9606
A0A075B6N3	TRBV24-1	9606
A0A075B6N4	TRBV25-1	9606
A0A075B6P5	IGKV2-28	9606
A0A075B6Q5	IGHV3-64	9606
A0A075B6R0	TRGV2	9606
A0A075B6R2	IGHV4-4	9606
A0A075B6R9	IGKV2D-24	9606
A0A075B6S0	TRGJ1	9606
A0A075B6S2	IGKV2D-29	9606
A0A075B6S4	IGKV1D-17	9606
A0A075B6S5	IGKV1-27	9606
A0A075B6S6	IGKV2D-30	9606
A0A075B6S9	IGKV1-37	9606
A0A075B6T6	TRAV12-2	9606
A0A075B6T7	TRAV6	9606
A0A075B6T8	TRAV9-1	9606
A0A075B6U4	TRAV7	9606
A0A075B6V5	TRAV36DV7	9606
A0A075B6W5	TRAV23DV6	9606
A0A075B6X5	TRAV18	9606
A0A075B6Y3	TRAJ3	9606
A0A075B6Y9	TRAJ42	9606
A0A075B700	TRAJ31	9606
A0A075B706	TRDJ1	9606
A0A075B734	AQP7B	9606
A0A075B759	PPIAL4E	9606
A0A075B767	PPIAL4H	9606
A0A087WPF7	Auts2	10090
A0A087WRI3	Cfap77	10090
A0A087WRU1	Redic1	10090
A0A087WSX0	IGLV5-45	9606
A0A087WSY4	IGHV4-30-2	9606
A0A087WSY6	IGKV3D-15	9606
A0A087WSZ0	IGKV1D-8	9606
A0A087WSZ9	TRAV30	9606
A0A087WT01	TRAV27	9606
A0A087WT02	TRAV9-2	9606
A0A087WT03	TRAV26-1	9606
A0A087WTH1	TMEM265	9606
A0A087WUL8	NBPF19	9606
A0A087WUV0	ZNF892	9606
A0A087WV53	SPEGNB	9606
A0A087WV62	TRBV16	9606
A0A087WVF3	TBC1D3D	9606
A0A087WW87	IGKV2-40	9606
A0A087WWA1	P3R3URF	9606
A0A087WWS6	IFNA13	9606
A0A087WXM9	MEIKIN	9606
A0A087WXS9	TBC1D3I	9606
A0A087X0K7	TRBV17	9606
A0A087X0M5	TRBV18	9606
A0A087X179	TBC1D3E	9606
A0A087X1C5	CYP2D7	9606
A0A087X1G2	TBC1D3K	9606
A0A088MLT8	Iqcj-Schip1	10090
A0A096LNP1	DEFB131B	9606
A0A096LNW5	NOTCH2NLR	9606
A0A096LP01	SMIM26	9606
A0A096LP49	CCDC187	9606
A0A096LP55	UQCRHL	9606
A0A096LPI5	CCDC28A-AS1	9606
A0A096LPK9	OR4N4C	9606
A0A0A0MRZ7	IGKV2D-26	9606
A0A0A0MRZ8	IGKV3D-11	9606
A0A0A0MRZ9	IGLV5-52	9606
A0A0A0MS00	IGLV3-32	9606
A0A0A0MS01	TRGV10	9606
A0A0A0MS02	TRGV1	9606
A0A0A0MS03	TRBV5-3	9606
A0A0A0MS04	TRBV6-7	9606
A0A0A0MS05	TRBV5-7	9606
A0A0A0MS06	TRBV23-1	9606
A0A0A0MS14	IGHV1-45	9606
A0A0A0MS15	IGHV3-49	9606
A0A0A0MT36	IGKV6D-21	9606
A0A0A0MT70	TRBJ2-6	9606
A0A0A0MT76	IGLJ1	9606
A0A0A0MT78	TRBJ2-7	9606
A0A0A0MT87	TRBJ2-4	9606
A0A0A0MT89	IGKJ1	9606
A0A0A0MT94	TRBJ2-2	9606
A0A0A0MTA4	TRBJ2-5	9606
A0A0A0MTA7	TRBJ2-1	9606
A0A0A6YXX9	Catspere2	10090
A0A0A6YY25	Btbd18	10090
A0A0A6YYC5	TRAV14DV4	9606
A0A0A6YYD4	TRBV13	9606
A0A0A6YYG2	TRBV6-6	9606
A0A0A6YYG3	TRBV6-8	9606
A0A0A6YYJ7	TRAV8-3	9606
A0A0A6YYK1	TRAV8-1	9606
A0A0A6YYK4	TRBV7-1	9606
A0A0A6YYK6	TRAV16	9606
A0A0A6YYK7	TRAV19	9606
A0A0A6YYL3	POTEB	9606
A0A0B4J1F4	Arrdc4	10090
A0A0B4J1G0	Fcgr4	10090
A0A0B4J1L0	Ceacam15	10090
A0A0B4J1N3	Gpr15lg	10090
A0A0B4J1U3	IGLV1-36	9606
A0A0B4J1U4	TRGV5	9606
A0A0B4J1U6	TRBV9	9606
A0A0B4J1U7	IGHV6-1	9606
A0A0B4J1V0	IGHV3-15	9606
A0A0B4J1V1	IGHV3-21	9606
A0A0B4J1V2	IGHV2-26	9606
A0A0B4J1V6	IGHV3-73	9606
A0A0B4J1V7	IGHV7-81	9606
A0A0B4J1W7	NPIPA9	9606
A0A0B4J1X5	IGHV3-74	9606
A0A0B4J1X8	IGHV3-43	9606
A0A0B4J1Y8	IGLV9-49	9606
A0A0B4J1Y9	IGHV3-72	9606
A0A0B4J1Z2	IGKV1D-43	9606
A0A0B4J200	TRBJ2-3	9606
A0A0B4J234	TRAV2	9606
A0A0B4J235	TRAV13-2	9606
A0A0B4J237	TRAV8-2	9606
A0A0B4J238	TRAV1-2	9606
A0A0B4J240	TRAV10	9606
A0A0B4J241	TRAV13-1	9606
A0A0B4J244	TRAV3	9606
A0A0B4J245	TRAV12-1	9606
A0A0B4J248	TRAV1-1	9606
A0A0B4J249	TRAV5	9606
A0A0B4J262	TRAV8-6	9606
A0A0B4J263	TRAV39	9606
A0A0B4J264	TRAV38-1	9606
A0A0B4J265	TRAV26-2	9606
A0A0B4J266	TRAV41	9606
A0A0B4J268	TRAV4	9606
A0A0B4J271	TRAV12-3	9606
A0A0B4J272	TRAV24	9606
A0A0B4J273	TRAV34	9606
A0A0B4J274	TRAV20	9606
A0A0B4J275	TRAV17	9606
A0A0B4J276	TRAV25	9606
A0A0B4J277	TRAV22	9606
A0A0B4J279	TRAV21	9606
A0A0B4J280	TRAV40	9606
A0A0B4J2A2	PPIAL4C	9606
A0A0B4J2D9	IGKV1D-13	9606
A0A0B4J2E0	TRBV12-4	9606
A0A0B4J2F0	PIGBOS1	9606
A0A0B4J2H0	IGHV1-69D	9606
A0A0C4DGP1	SMIM10L3	9606
A0A0C4DH24	IGKV6-21	9606
A0A0C4DH25	IGKV3D-20	9606
A0A0C4DH26	IGKV6D-41	9606
A0A0C4DH27	TRGV8	9606
A0A0C4DH28	TRGV4	9606
A0A0C4DH29	IGHV1-3	9606
A0A0C4DH30	IGHV3-16	9606
A0A0C4DH31	IGHV1-18	9606
A0A0C4DH32	IGHV3-20	9606
A0A0C4DH33	IGHV1-24	9606
A0A0C4DH34	IGHV4-28	9606
A0A0C4DH35	IGHV3-35	9606
A0A0C4DH36	IGHV3-38	9606
A0A0C4DH38	IGHV5-51	9606
A0A0C4DH39	IGHV1-58	9606
A0A0C4DH41	IGHV4-61	9606
A0A0C4DH42	IGHV3-66	9606
A0A0C4DH43	IGHV2-70D	9606
A0A0C4DH55	IGKV3D-7	9606
A0A0C4DH59	TRBV5-4	9606
A0A0C4DH62	IGHJ1	9606
A0A0C4DH67	IGKV1-8	9606
A0A0C4DH68	IGKV2-24	9606
A0A0C4DH69	IGKV1-9	9606
A0A0C4DH72	IGKV1-6	9606
A0A0C4DH73	IGKV1-12	9606
A0A0C5B5G6	MT-RNR1	9606
A0A0D9SF12	CCDC163	9606
A0A0G2JDV3	Gbp6	10090
A0A0G2JEB6	Cfap47	10090
A0A0G2JMD5	PRAMEF33	9606
A0A0G2JMI3	IGHV1-69-2	9606
A0A0G2JS06	IGLV5-39	9606
A0A0J9YVY3	IGHV7-4-1	9606
A0A0J9YWL9	TEX13C	9606
A0A0J9YWP8	TRBJ1-3	9606
A0A0J9YWX3	TRBJ1-6	9606
A0A0J9YX06	TRBJ1-2	9606
A0A0J9YX35	IGHV3-64D	9606
A0A0J9YX57	MAGEB6B	9606
A0A0J9YX75	TRBV6-9	9606
A0A0J9YX94	PNMA6F	9606
A0A0J9YXA8	TRBJ1-1	9606
A0A0J9YXG5	TRBJ1-4	9606
A0A0J9YXM7	TRBJ1-5	9606
A0A0J9YXQ4	PNMA6E	9606
A0A0J9YXV3	GREP1	9606
A0A0J9YXX1	IGHV5-10-1	9606
A0A0J9YXY3	TRBV6-2	9606
A0A0J9YY54	TEX13D	9606
A0A0K0K1A3	TRBV10-1	9606
A0A0K0K1A5	TRBV6-5	9606
A0A0K0K1B3	TRBV30	9606
A0A0K0K1C0	TRBV11-1	9606
A0A0K0K1C4	TRBV27	9606
A0A0K0K1D8	TRBV6-1	9606
A0A0K0K1E9	TRBV7-7	9606
A0A0K0K1G6	TRBV10-3	9606
A0A0K0K1G8	TRBV10-2	9606
A0A0K2S4Q6	CD300H	9606
A0A0M3U1B0	Sycp2l	10090
A0A0U1RPR8	Gucy2d	10090
A0A0U1RQ45	Tmem275	10090
A0A0U1RQE8	GLYATL1B	9606
A0A0U1RQF7	DPEP2NB	9606
A0A0U1RQG5	CT47C1	9606
A0A0U1RQI7	KLF18	9606
A0A0U1RQS6	TMEM275	9606
A0A0U1RR11	CENPVL1	9606
A0A0U1RR37	C1orf232	9606
A0A0U1RRA0	ZNF593OS	9606
A0A0U1RRE5	NBDY	9606
A0A0U1RRI6	CENPVL3	9606
A0A0U1RRK4	LBHD2	9606
A0A0U1RRL7	MMP24OS	9606
A0A0U1RRN3	MISFA	9606
A0A0X1KG70	OR4M2B	9606
A0A140LHF2	Vsig10l2	10090
A0A140LHV9	Tzmp1	10090
A0A140LI67	Frmpd2	10090
A0A140LI88	Ankrd31	10090
A0A140LIA7	Gm29797	10090
A0A140LIF8	Irgm2	10090
A0A140LIJ0	Dcst2	10090
A0A140LIT1	Ccdc194	10090
A0A183	LCE6A	9606
A0A1B0GQX2	Tunar	10090
A0A1B0GQX3	Ctxnd2	10090
A0A1B0GR13	Cylc1	10090
A0A1B0GRQ0	Smim36	10090
A0A1B0GRQ3	Tincr	10090
A0A1B0GSN8	Sertm2	10090
A0A1B0GST9	Ctxnd1	10090
A0A1B0GSZ0	Spaar	10090
A0A1B0GTB2	TUNAR	9606
A0A1B0GTC6	C3orf85	9606
A0A1B0GTD5	SPMIP11	9606
A0A1B0GTH6	CSNK2A2IP	9606
A0A1B0GTH9	ZNF475	9606
A0A1B0GTI1	CCDC201	9606
A0A1B0GTI8	TMEM272	9606
A0A1B0GTJ6	SAXO3	9606
A0A1B0GTK4	FAM237A	9606
A0A1B0GTK5	FAM236D	9606
A0A1B0GTL2	C20orf204	9606
A0A1B0GTQ4	MYMX	9606
A0A1B0GTR0	EDDM13	9606
A0A1B0GTR3	CXorf51A	9606
A0A1B0GTR4	SPRR5	9606
A0A1B0GTS1	HSFX4	9606
A0A1B0GTU1	ZC3H11B	9606
A0A1B0GTU2	CTXND1	9606
A0A1B0GTW7	CIROP	9606
A0A1B0GTY4	TEX50	9606
A0A1B0GTZ2	CCDC196	9606
A0A1B0GU29	SMIM28	9606
A0A1B0GU33	TEX53	9606
A0A1B0GU71	CFAP97D2	9606
A0A1B0GUA5	SMIM32	9606
A0A1B0GUA6	CCDC195	9606
A0A1B0GUA7	TEX51	9606
A0A1B0GUA9	C13orf46	9606
A0A1B0GUC4	MYOCOS	9606
A0A1B0GUI7	BRD3OS	9606
A0A1B0GUJ8	PNMA8C	9606
A0A1B0GUQ0	FAM236A	9606
A0A1B0GUS0	C19orf85	9606
A0A1B0GUS4	UBE2L5	9606
A0A1B0GUT2	C10orf143	9606
A0A1B0GUU1	C17orf113	9606
A0A1B0GUV1	C17orf114	9606
A0A1B0GUV7	TEX48	9606
A0A1B0GUW6	SPEM3	9606
A0A1B0GUW7	TZMP1	9606
A0A1B0GUX0	SPMIP1	9606
A0A1B0GUY1	MARCOL	9606
A0A1B0GV03	GOLGA6L7	9606
A0A1B0GV22	FAM236B	9606
A0A1B0GV85	REELD1	9606
A0A1B0GV90	CTXND2	9606
A0A1B0GV96	CHD9NB	9606
A0A1B0GVB3	C7orf78	9606
A0A1B0GVD1	FAM237B	9606
A0A1B0GVG4	CCDC194	9606
A0A1B0GVG6	TEX54	9606
A0A1B0GVH4	PRSS51	9606
A0A1B0GVH6	C13orf42	9606
A0A1B0GVH7	IQCM	9606
A0A1B0GVK7	FAM240A	9606
A0A1B0GVM5	ETDC	9606
A0A1B0GVM6	C11orf97	9606
A0A1B0GVN3	C2orf92	9606
A0A1B0GVQ0	SPAAR	9606
A0A1B0GVQ3	CCDC200	9606
A0A1B0GVR7	FAM240C	9606
A0A1B0GVS7	MDFIC2	9606
A0A1B0GVT2	SMIM36	9606
A0A1B0GVV1	SMIM35	9606
A0A1B0GVX0	LITAFD	9606
A0A1B0GVY4	SMIM31	9606
A0A1B0GVZ2	FAM240B	9606
A0A1B0GVZ6	MBD3L2B	9606
A0A1B0GVZ9	TMEM269	9606
A0A1B0GW35	EXOC1L	9606
A0A1B0GW54	SMIM39	9606
A0A1B0GW64	SMIM33	9606
A0A1B0GWB2	PRRT1B	9606
A0A1B0GWG4	SERTM2	9606
A0A1B0GWH4	HSFX3	9606
A0A1B0GWH6	LASP1NB	9606
A0A1B0GWI6	CXorf49C	9606
A0A1B0GWK0	PVALEF	9606
A0A1B0GX31	TRBV7-6	9606
A0A1B0GX49	TRBV6-4	9606
A0A1B0GX51	TRBV7-8	9606
A0A1B0GX56	TRDV1	9606
A0A1B0GX68	TRBV2	9606
A0A1B0GX78	TRBV12-5	9606
A0A1B0GX95	TRBV7-4	9606
A0A1B0GXF2	TRBV7-2	9606
A0A1D5RMD1	Iqcn	10090
A0A1D9BZF0	Gcna	10090
A0A1L1SUL6	Nme9	10090
A0A1W2P7I0	Kantr	10090
A0A1W2P872	Nova2	10090
A0A1W2P884	Cep85l	10090
A0A1W2PP81	TAF11L5	9606
A0A1W2PP97	THSD8	9606
A0A1W2PPD8	KDM4F	9606
A0A1W2PPE2	TAF11L4	9606
A0A1W2PPE3	C1orf202	9606
A0A1W2PPF3	DUXB	9606
A0A1W2PPG7	GNG14	9606
A0A1W2PPH5	TAF11L13	9606
A0A1W2PPK0	CPHXL2	9606
A0A1W2PPL8	TAF11L14	9606
A0A1W2PPM1	CPHXL	9606
A0A1W2PPW3	TAF11L12	9606
A0A1W2PQ09	TAF11L11	9606
A0A1W2PQ27	SSU72L1	9606
A0A1W2PQ64	SSU72L5	9606
A0A1W2PQ72	MSANTD7	9606
A0A1W2PQ73	ERFL	9606
A0A1W2PQC6	SSU72L4	9606
A0A1W2PQD8	SSU72L2	9606
A0A1W2PQJ5	SSU72L3	9606
A0A1W2PQL4	ZNF722	9606
A0A1W2PQU2	KANTR	9606
A0A1W2PR19	GSTT4	9606
A0A1W2PR48	TLE7	9606
A0A1W2PR64	TAF11L9	9606
A0A1W2PR75	SSU72L6	9606
A0A1W2PR82	PERCC1	9606
A0A1W2PR95	IGBP1C	9606
A0A1W2PRP0	FOXL3	9606
A0A1W2PRV1	TAF11L3	9606
A0A1W2PS18	PMIS2	9606
A0A1Z4VJI9	Fam237a	10090
A0A286YD83	Smim43	10090
A0A286YDK6	Percc1	10090
A0A286YEC0	Cirop	10090
A0A286YEU6	OR1R1	9606
A0A286YEV6	SCYGR4	9606
A0A286YEX9	SCYGR10	9606
A0A286YEY9	SCYGR1	9606
A0A286YF01	SCYGR7	9606
A0A286YF18	SMIM44	9606
A0A286YF46	SCYGR5	9606
A0A286YF58	TMEM271	9606
A0A286YF60	SCYGR3	9606
A0A286YF77	SCYGR6	9606
A0A286YFB4	SCYGR2	9606
A0A286YFG1	SCYGR8	9606
A0A286YFK9	SMIM38	9606
A0A2R8VHF7	Catsperq	10090
A0A2R8VHR8	Ddit3	10090
A0A2R8VJU7	Septin12	10090
A0A2R8Y2Y2	C8orf90	9606
A0A2R8Y4L2	HNRNPA1L3	9606
A0A2R8Y4L6	OR5D3	9606
A0A2R8Y4Y8	OOSP4B	9606
A0A2R8Y619	H2BK1	9606
A0A2R8Y7D0	TINCR	9606
A0A2R8Y7Y5	CIST1	9606
A0A2R8YCJ5	SMIM41	9606
A0A2R8YED5	OR5BS1	9606
A0A2R8YFL7	OOSP4A	9606
A0A2R8YFM6	OOSP3	9606
A0A2Z4LIS9	FOXO3B	9606
A0A338P6K9	Qser1	10090
A0A3B3IRV3	MCTS2	9606
A0A3B3IS91	POLGARF	9606
A0A3B3IT33	TRIM51G	9606
A0A3B3IT45	OR51C1	9606
A0A3B3IT52	MSANTD5	9606
A0A3B3IU46	RAMACL	9606
A0A3B3IU63	H2AL3	9606
A0A3G1DIU6	MT-RNR2	9606
A0A3G1DJK2	MT-RNR2	9606
A0A3G1DJL1	MT-RNR2	9606
A0A3G1DJL7	MT-RNR2	9606
A0A3G1DJN1	MT-RNR2	9606
A0A3G1DJQ2	MT-RNR2	9606
A0A411D538	SCPPPQ1	9606
A0A455ZAR2	LINC-PINT	9606
A0A494BA31	Slc4a9	10090
A0A494BZU4	TMEM217B	9606
A0A494C071	PWWP4	9606
A0A494C086	SPDYE21	9606
A0A494C0N9	FAM246B	9606
A0A494C0Y3	FAM246A	9606
A0A494C0Z2	SPDYE13	9606
A0A494C103	SPADH	9606
A0A494C191	SPDYE9	9606
A0A494C1I1	SMIM48	9606
A0A494C1R9	TSPY9	9606
A0A539	TRBV4-2	9606
A0A571BE98	Lsmem2	10090
A0A571BEE2	Cylc2	10090
A0A571BF63	Ankfn1	10090
A0A576	TRBV3-1	9606
A0A577	TRBV4-1	9606
A0A578	TRBV5-1	9606
A0A584	TRBV11-2	9606
A0A589	TRBV4-3	9606
A0A590UK83	SMIM45	9606
A0A597	TRBV5-5	9606
A0A599	TRBV5-6	9606
A0A5A2	TRBV5-8	9606
A0A5A6	TRBV11-3	9606
A0A5B0	TRBV14	9606
A0A5B6	TRBV28	9606
A0A5B7	TRBV29-1	9606
A0A5B9	TRBC2	9606
A0A5F8MPU3	Catspert	10090
A0A5F9ZH02	SMIM42	9606
A0A5F9ZHS7	NFILZ	9606
A0A5K7RLP0	Meiosin	10090
A0A6I8MX38	Tug1	10090
A0A6I8PU40	TUG1	9606
A0A7I2V3R4	RNF228	9606
A0A7L8Y648	AQP5-AS1	9606
A0A7N9VSG0	Afg2b	10090
A0A7P0TBJ1	HAPSTR2	9606
A0A804C8T0	Hapstr2	10090
A0A804HLA8	GNG5B	9606
A0A8I5KQE6	RPSA2	9606
A0A8I5KY20	CCDC92B	9606
A0A8V8TMC4	CCNYL1B	9606
A0A8V8TNH8	FAM90A11	9606
A0A8V8TPE2	FAM90A3	9606
A0AAQ4VMX2	C4a	10090
